# Pairs Trading Analytics Export
# Pair: BTCUSDT / ETHUSDT
# Timeframe: 1m
# Export Date: 2025-11-24 00:49:12
# Total Data Points: 100
#
# === CALCULATION FORMULAS ===
# Hedge Ratio (β): Calculated using OLS regression: BTCUSDT = α + β × ETHUSDT
# Hedge Ratio Value: 2.129761
# R-Squared: 0.026781
#
# Spread = Price_BTCUSDT - (Hedge_Ratio × Price_ETHUSDT)
# Z-Score = (Spread - Rolling_Mean) / Rolling_StdDev
# Correlation = Rolling correlation between BTCUSDT and ETHUSDT prices
# Signal: 1 = LONG, -1 = SHORT, 0 = NEUTRAL/EXIT
#
# === TRADING LOGIC ===
# LONG Signal: Z-Score < -2.0 (Spread abnormally low)
# SHORT Signal: Z-Score > +2.0 (Spread abnormally high)
# EXIT Signal: |Z-Score| < 0.5 (Spread near mean)
#
time,price_btcusdt,price_ethusdt,spread,zscore,correlation,trading_signal,hedge_ratio
2025-11-23 17:23:00,86596.3,2787.7,80659.16652621322,-0.6939155945161372,0.9610484602698816,0,2.129760545893312
2025-11-23 17:24:00,86611.9,2789.45,80671.03944525789,-0.5775497462591397,0.9931944836202856,0,2.129760545893312
2025-11-23 17:25:00,86645.5,2789.76,80703.97921948867,-0.3203810074564469,0.9895629869821282,0,2.129760545893312
2025-11-23 17:26:00,86693.6,2791.67,80748.01137684603,0.15013885876557026,0.9767831772076708,0,2.129760545893312
2025-11-23 17:27:00,86710.6,2793.02,80762.13620010906,1.1058093053175797,0.8214786486767474,0,2.129760545893312
2025-11-23 17:28:00,86855.6,2803.37,80885.09317845906,2.98940753500736,0.8640353479372554,-1,2.129760545893312
2025-11-23 17:29:00,86823.6,2802.01,80855.98965280148,2.1402992073292375,0.8861736007317039,-1,2.129760545893312
2025-11-23 17:33:00,86837.6,2801.7,80870.64987857071,1.987168048981052,0.9027525939544798,0,2.129760545893312
2025-11-23 17:34:00,86795.4,2801.64,80828.57766420346,1.2625724835662635,0.9243476197194935,0,2.129760545893312
2025-11-23 17:35:00,86817.3,2802.9,80847.79416591563,1.3607584398391182,0.9445303546246053,0,2.129760545893312
2025-11-23 17:36:00,86806.5,2802.61,80837.61179647394,1.1409654943145633,0.9535147508889219,0,2.129760545893312
2025-11-23 17:37:00,86910.8,2805.5,80935.75678849632,1.9693796951605655,0.9679821320175395,0,2.129760545893312
2025-11-23 17:38:00,86902.2,2804.91,80928.41334721839,1.6438579608348787,0.9767672673007062,0,2.129760545893312
2025-11-23 17:39:00,86787.7,2800.21,80823.92322178409,0.5333838203857397,0.9824028694629612,0,2.129760545893312
2025-11-23 17:40:00,86813.9,2801.25,80847.90827081635,0.6969891284496463,0.9820654515015971,0,2.129760545893312
2025-11-23 17:41:00,86797.4,2801.58,80830.70544983621,0.4495848468631593,0.9792672692178989,0,2.129760545893312
2025-11-23 18:26:00,86857.3,2801.79,80890.15820012159,0.9806539738381483,0.9765457679886705,0,2.129760545893312
2025-11-23 18:27:00,86873.7,2802.46,80905.13126055582,1.0317307015151165,0.9746649622199005,0,2.129760545893312
2025-11-23 18:28:00,86884.5,2804.22,80912.18288199506,1.0425077625942112,0.9740779776324171,0,2.129760545893312
2025-11-23 18:29:00,86844.7,2802.03,80877.04705759056,0.5627984999522547,0.97092898686932,0,2.129760545893312
2025-11-23 18:30:00,86902.3,2803.34,80931.85707127544,1.1796019467732093,0.9561163681180614,0,2.129760545893312
2025-11-23 18:32:00,86913.4,2800.75,80948.4731510893,1.3812475182692494,0.8988286461523275,0,2.129760545893312
2025-11-23 18:33:00,86954.0,2803.14,80983.98302338462,1.8568337947817946,0.8124122781071542,0,2.129760545893312
2025-11-23 18:34:00,86992.1,2805.49,81017.07808610178,2.1568068919646484,0.7536287813784096,-1,2.129760545893312
2025-11-23 18:35:00,87014.6,2805.62,81039.30121723081,2.2271511510718853,0.7367777429875382,-1,2.129760545893312
2025-11-23 18:36:00,87017.1,2804.94,81043.24945440202,1.9305726500979947,0.7650881784437115,0,2.129760545893312
2025-11-23 18:37:00,87099.9,2808.38,81118.72307812414,2.3739671779032916,0.8400910745782878,-1,2.129760545893312
2025-11-23 19:23:00,87482.0,2826.0,81463.2966973055,3.507698704667276,0.9469543380139495,-1,2.129760545893312
2025-11-23 19:24:00,87456.5,2825.29,81439.30882729309,2.5545195774319267,0.9672008663512007,-1,2.129760545893312
